country,year,variety,grape_color,variety_area_ha,grape_yield_tonnes_per_ha,estimated_variety_production_tons,world
Argentina,2010,Sémillon,white,955.8099,11.3,10800.65187,New World
Argentina,2010,Tannat,red,580.772,11.3,6562.723600000001,New World
Argentina,2010,Tempranillo,red,6564.6558,11.3,74180.61054,New World
Argentina,2010,Torrontes Mendocino,white,660.9956,11.3,7469.25028,New World
Argentina,2010,Torrontés Riojano,white,8480.1235,11.3,95825.39555,New World
Argentina,2010,Torrontés Sanjuanino,white,2527.0226,11.3,28555.355380000005,New World
Argentina,2010,Touriga Franca,red,0.43,11.3,4.859,New World
Argentina,2010,Touriga Nacional,red,14.2925,11.3,161.50525000000002,New World
Argentina,2010,Trebbiano Toscano,white,2424.8301,11.3,27400.58013,New World
Argentina,2010,Tribidrag,red,0.36,11.3,4.0680000000000005,New World
Argentina,2010,Trincadeira,red,0.25,11.3,2.825,New World
Argentina,2010,Trousseau,red,54.4593,11.3,615.39009,New World
Argentina,2010,Verdelho,white,15.49,11.3,175.037,New World
Argentina,2010,Verdicchio Bianco,white,1.5,11.3,16.950000000000003,New World
Argentina,2010,Verduzzo Friulano,white,4.6256,11.3,52.26928000000001,New World
Argentina,2010,Vermentino,white,2.5293,11.3,28.581090000000003,New World
Argentina,2010,Viognier,white,754.2358,11.3,8522.86454,New World
Argentina,2010,other red,red,55.5818,11.3,628.07434,New World
Argentina,2010,other white,white,31.0599,11.3,350.97687,New World
Argentina,2016,Aglianico,red,50.9,7.9,402.11,New World
Argentina,2016,Alicante Henri Bouschet,red,135.4,7.9,1069.66,New World
Argentina,2016,Alvarelhão,red,6.4,7.9,50.56,New World
Argentina,2016,Ancellotta,red,991.1,7.9,7829.69,New World
Argentina,2016,Arinarnoa,red,1.0,7.9,7.9,New World
Argentina,2016,Aspiran Bouschet,red,4086.6,7.9,32284.14,New World
Argentina,2016,Barbera,red,443.5,7.9,3503.65,New World
Argentina,2016,Bombino Bianco,white,9.4,7.9,74.26,New World
Argentina,2016,Bonamico,red,136.8,7.9,1080.72,New World
Argentina,2016,Bourboulenc,white,0.2,7.9,1.58,New World
Argentina,2016,Béquignol Noir,red,615.7,7.9,4864.030000000001,New World
Argentina,2016,Caberinta,red,38.3,7.9,302.57,New World
Argentina,2016,Cabernet Franc,red,928.848,7.9,7337.8992,New World
Argentina,2016,Cabernet Sauvignon,red,15355.7,7.9,121310.03,New World
Argentina,2016,Caladoc,red,15.400000000000002,7.9,121.66000000000004,New World
Argentina,2016,Canari Noir,red,79.5,7.9,628.0500000000001,New World
Argentina,2016,Canela,grey_or_gris,2.8,7.9,22.12,New World
Argentina,2016,Cardinal,red,2.2,7.9,17.380000000000003,New World
Argentina,2016,Carmenère,red,58.7,7.9,463.73,New World
Argentina,2016,Casavecchia,red,5.8,7.9,45.82,New World
Argentina,2016,Cereza,grey_or_gris,28886.6,7.9,228204.14,New World
Argentina,2016,Chardonnay,white,6226.7,7.9,49190.93,New World
Argentina,2016,Chenin Blanc,white,2156.625,7.9,17037.3375,New World
Argentina,2016,Cinsaut,red,1.4,7.9,11.06,New World
Argentina,2016,Corvina Veronese,red,16.8,7.9,132.72,New World
Argentina,2016,Corvinone,red,0.4,7.9,3.16,New World
Argentina,2016,Criolla Grande,red,15595.6,7.9,123205.24,New World
Argentina,2016,Criolla Mediana,red,6.9,7.9,54.51,New World
Argentina,2016,Croatina,red,16.3,7.9,128.77,New World
Argentina,2016,Côt,red,40401.2,7.9,319169.48000000004,New World
Argentina,2016,Damaschino,white,526.6,7.9,4160.14,New World
Argentina,2016,Dolcetto,red,7.0,7.9,55.3,New World
Argentina,2016,Douce Noire,red,19071.5,7.9,150664.85,New World
